iter	Passed	Remaining
428	1329	3318
429	1330	3310
430	1331	3302
431	1332	3294
432	1333	3285
433	1334	3279
434	1336	3271
435	1337	3264
436	1338	3256
437	1340	3249
438	1341	3241
439	1342	3233
440	1343	3225
441	1344	3218
442	1345	3210
443	1352	3216
444	1353	3209
445	1355	3202
446	1356	3195
447	1357	3188
448	1358	3181
449	1360	3173
450	1361	3167
451	1362	3159
452	1366	3159
453	1368	3153
454	1369	3146
455	1370	3138
456	1371	3130
457	1373	3124
458	1374	3117
459	1375	3110
460	1376	3102
461	1377	3095
462	1380	3092
463	1382	3086
464	1383	3079
465	1385	3073
466	1386	3066
467	1387	3059
468	1388	3053
469	1390	3047
470	1391	3040
471	1393	3033
472	1394	3027
473	1395	3021
474	1397	3015
475	1400	3013
476	1405	3014
477	1408	3012
478	1412	3010
479	1414	3006
480	1416	3001
481	1417	2994
482	1421	2992
483	1422	2987
484	1424	2980
485	1427	2977
486	1429	2974
487	1431	2967
488	1434	2965
489	1436	2961
490	1441	2962
491	1442	2956
492	1448	2958
493	1452	2958
494	1455	2954
495	1460	2955
496	1463	2953
497	1465	2948
498	1468	2946
499	1473	2946
500	1474	2940
501	1476	2935
502	1484	2942
503	1485	2936
504	1493	2942
505	1496	2939
506	1501	2940
507	1510	2949
508	1511	2942
509	1518	2947
510	1519	2940
511	1526	2945
512	1533	2950
513	1537	2949
514	1541	2947
515	1542	2941
516	1546	2941
517	1554	2947
518	1557	2943
519	1562	2944
520	1563	2937
521	1569	2940
522	1571	2935
523	1577	2938
524	1579	2932
525	1585	2934
526	1588	2932
527	1591	2929
528	1592	2922
529	1600	2928
530	1601	2921
531	1606	2922
532	1613	2927
533	1617	2926
534	1622	2925
535	1624	2921
536	1628	2921
537	1632	2918
538	1638	2920
539	1640	2917
540	1642	2912
541	1648	2913
542	1649	2907
543	1656	2911
544	1658	2906
545	1661	2903
546	1662	2897
547	1663	2890
548	1665	2884
549	1666	2878
550	1667	2872
551	1668	2865
552	1669	2859
553	1670	2853
554	1672	2847
555	1674	2842
556	1675	2836
557	1678	2833
558	1681	2830
559	1684	2827
560	1690	2828
561	1692	2825
562	1695	2822
563	1698	2819
564	1700	2813
565	1702	2808
566	1708	2811
567	1710	2807
568	1712	2801
569	1715	2798
570	1719	2796
571	1724	2797
572	1727	2794
573	1731	2792
574	1732	2787
575	1734	2782
576	1740	2783
577	1742	2779
578	1749	2783
579	1755	2785
580	1758	2781
581	1760	2776
582	1767	2780
583	1775	2785
584	1781	2785
585	1782	2780
586	1784	2775
587	1785	2770
588	1793	2774
589	1797	2771
590	1801	2770
591	1804	2767
592	1807	2764
593	1811	2763
594	1813	2758
595	1818	2758
596	1823	2757
597	1824	2751
598	1833	2758
599	1835	2753
600	1838	2749
601	1843	2749
602	1847	2747
603	1850	2745
604	1854	2742
