iter	RMSE
0	0.3841452322
1	0.3773909182
2	0.3662755429
3	0.3566907362
4	0.346654581
5	0.3369164925
6	0.3275868281
7	0.3184380889
8	0.3107382187
9	0.3020748566
10	0.2950142831
11	0.2879640095
12	0.281347876
13	0.2749918444
14	0.2684060914
15	0.2628103989
16	0.2567159422
17	0.2514435157
18	0.2460419928
19	0.2408747555
20	0.2353832464
21	0.2307477376
22	0.2265294487
23	0.2225247392
24	0.2183844762
25	0.2143928415
26	0.2107908457
27	0.2068823632
28	0.203346153
29	0.2002675096
30	0.1975706125
31	0.1948384251
32	0.191682903
33	0.1889885274
34	0.1864813717
35	0.1840317374
36	0.1814234983
37	0.179318409
38	0.1772499322
39	0.1751613769
40	0.17319958
41	0.1716833831
42	0.1699764247
43	0.1682624848
44	0.1666715886
45	0.1652187833
46	0.1637976453
47	0.1621575045
48	0.1604942696
49	0.158988065
50	0.1576725875
51	0.1563920626
52	0.1551037937
53	0.1538766469
54	0.1527364795
55	0.1515328617
56	0.150365681
57	0.1494002603
58	0.14847306
59	0.1475434145
60	0.1465220072
61	0.145826087
62	0.144918984
63	0.63	0.14868064	0.64	0.1479233665
65	0.147235944
66	0.1460952266
67	0.1452642328
68	0.1444188756
69	0.1436528243
70	0.1429780102
71	0.1423579874
72	0.1417804554
73	0.1411404659
74	0.1405786388
75	0.140138426
76	0.1395287594
77	0.1388567768
78	0.1384026556
79	0.1378488568
80	0.1373547189
81	0.1368048153
82	0.136255445
83	0.1357258792
84	0.1351984828
85	0.1346975841
86	0.1343885539
87	0.1340017538
88	0.1336137957
89	0.133163877
90	0.1326883809
91	0.132368448
92	0.1320206702
93	0.1314384388
94	0.131023407
95	0.1304644984
96	0.1304149573
97	0.1300810052
98	0.1297393201
99	0.1293144253
100	0.1289759675
101	0.1286369208
102	0.1281642624
103	0.1276781374
104	0.1273881749
105	0.1268943878
106	0.126575458
107	0.1263357713
108	0.1260551363
109	0.1257683581
110	0.1254967349
111	0.1252258738
112	0.1249754168
113	0.1246376894
114	0.1244224826
115	0.1240183193
116	0.1236615284
117	0.1232967586
118	0.1230866526
119	0.122667383
120	0.1224172348
121	0.1223337493
122	0.1222196605
123	0.1219922318
124	0.1216959783
125	0.1214597789
126	0.1212401223
127	0.1210646437
128	0.1207577007
129	0.1205718184
130	0.1202177768
131	0.1200424502
132	0.1197579299
133	0.1195135064
134	0.1194332459
135	0.1192230848
136	0.1188197276
137	0.1186034875
138	0.1184118489
139	0.118293019
140	0.1180352441
141	0.1177973514
142	0.1175521323
143	0.1173972108
144	0.1170989149
145	0.1168156151
146	0.1166587156
147	0.1162580109
148	0.1159734014
149	0.115766618
150	0.1155776459
151	0.1153781366
152	0.1152045782
153	0.11500196
154	0.1149564504
155	0.1149106484
156	0.1147629758
157	0.1146542463
158	0.1144897938
159	0.1143286541
160	0.1142468349
161	0.1140184533
162	0.113950848
163	0.1138874642
164	0.1135982763
165	0.1135376656
166	0.1134766187
167	0.1134284721
168	0.1133399346
169	0.1130848758
170	0.113030053
171	0.1129354943
172	0.1128508856
173	0.1127688539
174	0.1127289836
175	0.1125271345
176	0.1123571933
177	0.1123150715
178	0.1122386286
179	0.1120056383
180	0.111836423
181	0.1116194553
182	0.1113505084
183	0.111078678
184	0.1110311391
185	0.1107657811
186	0.1107253014
187	0.1105007619
188	0.1102734174
189	0.1101742411
190	0.109982529
191	0.109938675
192	0.109737223
193	0.1096549011
194	0.1095348964
195	0.1092798113
196	0.1092463741
197	0.1092135972
198	0.1089882966
199	0.1089483473
200	0.1088741083
201	0.1087005277
202	0.1084985318
203	0.1083367695
204	0.1083065188
205	0.1082481268
206	0.1080657786
207	0.1078755466
208	0.1076986076
209	0.1076428175
210	0.1074998511
211	0.1074651426
212	0.1073103021
213	0.1071309278
214	0.107047963
215	0.1070201265
216	0.1069928393
217	0.1067493271
218	0.1067229185
219	0.1064676112
220	0.1064180156
221	0.1063230929
222	0.106143221
223	0.1060009162
224	0.1058890928
225	0.1056747013
226	0.1056460658
227	0.1054614704
228	0.1053095572
229	0.1051394527
230	0.1049719705
231	0.1047490518
232	0.1046046422
233	0.1044892616
234	0.1044089285
235	0.104248796
236	0.1041689705
237	0.1041101509
238	0.1039559993
239	0.1039318053
240	0.1037367178
241	0.1036810213
242	0.1035050182
243	0.1034821506
244	0.1034598103
245	0.1032734503
246	0.1030977831
247	0.103076264
248	0.1029598911
249	0.1028423904
250	0.1027984034
251	0.1026315816
252	0.1024623844
253	0.1022595929
254	0.1022094104
255	0.1020698298
256	0.1018964842
257	0.1018770896
258	0.1018580751
259	0.1017043467
260	0.1015975858
261	0.101455925
262	0.1012881746
263	0.1012692146
264	0.101135578
265	0.1009964527
266	0.1008803804
267	0.1008621475
268	0.1007707288
269	0.1007258121
270	0.1005210009
271	0.1003193147
272	0.10016917
273	0.099987751
274	0.0998813405
275	0.09986386066
276	0.09972893307
277	0.09969888946
278	0.09956507487
279	0.09938237517
280	0.09932621702
281	0.09917405457
282	0.09903083195
283	0.0989523273
284	0.09880324218
285	0.09873975662
286	0.09864413169
287	0.09852471811
288	0.09834926919
289	0.09831385094
290	0.0981703289
291	0.09814694158
292	0.09811863391
293	0.09808420919
294	0.09798171317
295	0.09796678851
296	0.09786086795
297	0.09777178158
298	0.09771336628
299	0.09768480979
300	0.09765602522
301	0.0974807313
302	0.09744282642
303	0.09731367945
304	0.09719061917
305	0.09706424934
306	0.09704932479
307	0.09690134761
308	0.09677467963
309	0.09666864223
310	0.09649389992
311	0.09636221435
312	0.09625542615
313	0.09624140431
314	0.09610661764
315	0.09607964579
316	0.09606616129
317	0.09591481869
318	0.09580116457
319	0.09566179155
320	0.09564844915
321	0.0954909362
322	0.09538364052
323	0.09518490113
324	0.09515708427
325	0.09503843583
326	0.09492690802
327	0.09474463291
328	0.0946378373
329	0.09452149032
330	0.09437220228
331	0.09422920558
332	0.09419819636
333	0.0940755884
334	0.09397726752
335	0.09394830249
336	0.09392387737
337	0.09380976007
338	0.09378468209
339	0.09361016609
340	0.09349672904
341	0.09339723178
342	0.09324959926
343	0.09316847676
344	0.09309691254
345	0.09305535903
346	0.09303095063
347	0.09289080885
348	0.09277840572
349	0.09276664243
350	0.09265038395
351	0.09252435897
352	0.09238905062
353	0.09232991379
354	0.09228089176
355	0.09215515605
356	0.09206325938
357	0.09192778056
358	0.09191353149
359	0.09189323144
360	0.09176325861
361	0.09165535975
362	0.09156336745
363	0.0914094758
364	0.09132884984
365	0.09123481844
366	0.09109794904
367	0.0909949623
368	0.09094486601
369	0.09079227901
370	0.09078121504
371	0.09068325355
372	0.0906379619
373	0.0905399166
374	0.09052008861
375	0.09042870378
376	0.09037083227
377	0.09029133418
378	0.09020717153
379	0.09014838566
380	0.0900406409
381	0.08997433695
382	0.08985336319
383	0.08980213779
384	0.08978184367
385	0.08973397218
386	0.0896193824
387	0.08943792243
388	0.08936387503
389	0.08933931927
390	0.08922991159
391	0.08916738982
392	0.08904885913
393	0.08898717526
394	0.08890320482
395	0.08880188082
396	0.08872622814
397	0.08863630717
398	0.08859283866
399	0.08851021203
400	0.08844069431
401	0.08838077353
402	0.08832405215
403	0.08821024529
404	0.08814809388
405	0.08809516609
406	0.08797945781
407	0.08796347264
408	0.087943736
409	0.08779908149
410	0.08778191151
411	0.08769810708
412	0.08754922698
413	0.08749010317
414	0.08736550804
415	0.08735214764
416	0.0872648976
417	0.08724864439
418	0.0871677353
419	0.0871585645
420	0.08712307122
421	0.08704516542
422	0.08689158261
423	0.08679629894
424	0.08678551528
425	0.08677505036
426	0.08668142013
427	0.08661264457
428	0.08650681667
429	0.0864240566
430	0.08626190998
431	0.08625110668
432	0.08623580359
433	0.08615024084
434	0.08603007463
435	0.0859984453
436	0.08588131072
437	0.08584365858
438	0.08571056019
439	0.08565637569
440	0.08558085495
441	0.08548128786
442	0.08546922717
443	0.08543064951
444	0.08542061356
445	0.08526766333
446	0.08525847082
447	0.08522996694
448	0.0851094479
449	0.08500980182
450	0.08491152498
451	0.08489204533
452	0.08476757431
453	0.08468730303
454	0.0845957576
455	0.08450456269
456	0.08449296112
457	0.08439559963
458	0.0843100556
459	0.0842025683
460	0.08413404637
461	0.08407508483
462	0.08393469105
463	0.08380858292
464	0.08378933787
465	0.08364889945
466	0.0835587684
467	0.08348535057
468	0.08336419726
469	0.08326589316
470	0.08325729945
471	0.08316964668
472	0.08316003072
473	0.08307316585
474	0.08301505067
475	0.08295099389
476	0.08285438356
477	0.08278376015
478	0.08271832785
479	0.08267873214
480	0.08258637462
481	0.08253968475
482	0.08245388495
483	0.0823700316
484	0.08231532569
485	0.0823033042
486	0.08222898419
487	0.08221453266
488	0.08220561571
489	0.08209106904
490	0.08204652759
491	0.08198086188
492	0.08193767845
493	0.08190462383
494	0.08185527278
495	0.08184128689
496	0.08170940709
497	0.08168117881
498	0.08163784846
499	0.08156730399
500	0.08145154846
501	0.08135570578
502	0.08134209359
503	0.08129227941
504	0.08126381868
505	0.08125533794
506	0.08124655958
507	0.081156957
508	0.08106757057
509	0.08099705722
510	0.08091705085
511	0.08085723019
512	0.08078685276
513	0.08066951184
514	0.0805989579
515	0.08051317887
516	0.08048271586
517	0.08038093879
518	0.08030451252
519	0.0801992674
520	0.08007658102
521	0.08006915695
522	0.08006117388
523	0.08005168775
524	0.08004403194
525	0.07996491719
526	0.07995396139
527	0.07994520605
528	0.07978800791
529	0.07967292009
530	0.07959858205
531	0.07959257664
532	0.07952240497
533	0.07945308952
534	0.07944737013
535	0.07943237285
536	0.07942249614
537	0.07930660924
538	0.07930107364
539	0.07923385382
540	0.07917195849
541	0.07915810995
542	0.07911154108
543	0.07905995501
544	0.07898746373
545	0.07894290598
546	0.07890463086
547	0.07881243574
548	0.07871611054
549	0.07867820792
550	0.07867232585
551	0.07860604769
552	0.078457894
553	0.07842720289
554	0.0783623038
555	0.0781874424
556	0.07810237448
557	0.07801050769
558	0.07791510732
559	0.07781429964
560	0.07780287541
561	0.07770819302
562	0.07767236137
563	0.0776564306
564	0.07765130589
565	0.07763959648
566	0.07748227698
567	0.07737920389
568	0.07730131384
569	0.07721545953
570	0.07714552679
571	0.07710011939
572	0.0770587558
573	0.07704156965
574	0.07693917204
575	0.07688482645
576	0.07680136914
577	0.0767224786
578	0.07662615907
579	0.07655680517
580	0.07646770212
581	0.07637063616
582	0.07631051847
583	0.07626744054
584	0.076210489
585	0.07617250824
586	0.07606536291
587	0.07605151883
588	0.07599778076
589	0.07593828456
590	0.07584210394
591	0.07581142553
592	0.07572042166
593	0.07561565279
594	0.07558298414
595	0.07551938648
596	0.07547371115
597	0.0754412702
598	0.07535400323
599	0.07526341305
600	0.07520207765
601	0.07515223164
602	0.07508794307
603	0.07496948018
604	0.07488253068
605	0.07484355312
606	0.0747520204
607	0.07474280169
608	0.07465945292
609	0.07461251556
610	0.07451418655
611	0.07445558101
612	0.07442865036
613	0.07433503706
614	0.07430297531
615	0.07424465513
616	0.07423932726
617	0.0741453851
618	0.07405275963
619	0.07398317836
620	0.07394587802
621	0.07393012028
622	0.07390012955
623	0.07386466406
624	0.07381817518
625	0.0737579019
626	0.07371353634
627	0.07365703313
628	0.07358066814
629	0.07352276586
630	0.07351677002
631	0.0735115499
632	0.07343075743
633	0.07342506626
634	0.07337805443
635	0.07335377943
636	0.07331024502
637	0.07326771559
638	0.07326261739
639	0.07324871392
640	0.07322500724
641	0.07321953646
642	0.0731457188
643	0.07313615238
644	0.07313090728
645	0.07307262503
646	0.07305883756
647	0.07297179143
648	0.0729630697
649	0.07293940124
650	0.07285888005
651	0.0727757805
652	0.07272369888
653	0.07268160796
654	0.07258910611
655	0.07251294894
656	0.07249837096
657	0.07238623157
658	0.07237630928
659	0.07236603864
660	0.07226740258
661	0.07226243913
662	0.07221295445
663	0.07212870883
664	0.07207339526
665	0.07198336322
666	0.07193778015
667	0.07189606998
668	0.07183090986
669	0.0718009186
670	0.07175435429
671	0.07166803303
672	0.07161398141
673	0.07156003536
674	0.07154280694
675	0.07150842524
676	0.07148768552
677	0.07141956323
678	0.07134060698
679	0.07123714486
680	0.07123047396
681	0.07122569801
682	0.07120403547
683	0.07114209734
684	0.07109689059
685	0.07107444634
686	0.07101856332
687	0.07093740474
688	0.07085668654
689	0.07084597551
690	0.07077238977
691	0.07072805813
692	0.07068512446
693	0.07067184423
694	0.07066723808
695	0.07061412554
696	0.07053664063
697	0.07039943675
698	0.07035200031
699	0.07027465858
700	0.07021060089
701	0.07016484686
702	0.07008988336
703	0.07004462315
704	0.0699853134
705	0.06992685036
706	0.06987713613
707	0.0697987271
708	0.06978966874
709	0.06970430906
710	0.06965782127
711	0.06960915898
712	0.06955678441
713	0.06950854055
714	0.06943934716
715	0.06937119467
716	0.06927451545
717	0.0692282728
718	0.06916738656
719	0.0691003511
720	0.06909383784
721	0.06902930089
722	0.06893882724
723	0.0688912816
724	0.0688093356
725	0.06874848642
726	0.06867167383
727	0.06858737649
728	0.06852572365
729	0.06851300747
730	0.06843321144
731	0.06838018211
732	0.06832285315
733	0.06826870927
734	0.06821718731
735	0.06820852059
736	0.06816643147
737	0.06813540741
738	0.06809984518
739	0.06807230975
740	0.06804010021
741	0.06790986539
742	0.06785158459
743	0.06777754426
744	0.06773066701
745	0.06770298436
746	0.06762432933
747	0.06756673015
748	0.06747627271
749	0.06743501637
750	0.06742383687
751	0.06741188126
752	0.06734970011
753	0.06730278646
754	0.06724047916
755	0.06719872408
756	0.06716082513
757	0.06708060793
758	0.06703858988
